name,faculty,url,is_valid_link
Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/dise%C3%B1o-gr%C3%A1fico#overlay-context=es/producci%25C3%25B3n-para-medios-de-comunicaci%25C3%25B3n,True
Producción para Medios de Comunicación,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/producci%C3%B3n-para-medios-de-comunicaci%C3%B3n,True
Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/dise%C3%B1o-de-productos,True
Petróleo,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-en-petroleo,True
Geología,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-en-geologia,True
Minas,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-de-minas,True
Ingeniería Civil,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-civil,True
Biología,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/biolog%C3%ADa-0#overlay-context=posgrados,True
Ingeniería Agrícola y Biológica,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/ingenier%C3%ADa-agr%C3%ADcola-y-biol%C3%B3gica-1#overlay-context=,True
Licenciatura en Nutrición y Dietética,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/es/licenciatura-en-nutrici%C3%B3n-y-diet%C3%A9tica,True
Electricidad,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/generalidades-potencia,True
Electrónica y Automatización,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/electronica-y-automatizacion-industrial,True
Telecomunicaciones,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/teleco-generalidades,True
Telemática,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/telematica-generalidades,True
Computación,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/generalidades-comp,True
Logística y Transporte,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/ingenier%C3%ADa-en-log%C3%ADstica-y-transporte,True
Estadística,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/es/estadistica,True
Ingeniería Química,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/ingenier%C3%ADa-qu%C3%ADmica,True
Matemática,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/es/matem%C3%A1tica,True
Mecánica,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecanica,True
Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Alimentos,True
Ingeniería Industrial,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Industrial,True
Materiales,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-en-Materiales,True
Mecatrónica,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica,True
Economía,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/economia,True
Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/administracion_de_empresa,True
Auditoría y Control de Gestión,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/auditor%C3%ADa-y-control-de_gesti%C3%B3n,True
Arqueología,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/licenciatura-arqueolog%C3%ADa,True
Turismo,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/turismo,True
Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/acuicultura/home,True
Ingeniería Naval,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/carrera_naval/home,True
Oceonografía,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/oceanografia/home,True
